TextID,PCNARz,PCNARp,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNOa,CRFAOa,CRFSOa,LDTTRc,LDTTRa,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,SYNSTRUTa,SYNSTRUTt,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,RDFRE,RDFKGL,RDL2
\n35.chstr.cex.txt,0.3680000007,64.05999756,29.12000084,-0.6679999828,25.45999908,-1.075999975,14.22999954,-1.679999948,4.650000095,0.4650000036,67.72000122,0.0700000003,0.09300000221,0.1070000008,0.7160000205,0.523999989,48.27600098,6.896999836,13.79300022,6.896999836,13.79300022,0.2730000019,0.2440000027,241.3789978,220.6900024,41.38000107,48.27600098,55.17200089,6.896999836,0,0,27.58600044,92.25,1.725999951,28.18000031
\n36.chstr.cex.txt,1.47300005,92.91999817,42.47000122,-0.27700001,39.36000061,-0.173999995,43.25,-6.820000172,0,1.620000005,94.62999725,0.1270000041,0.3269999921,0.1599999964,0.6140000224,0.3689999878,140.625,12.5,34.375,21.875,18.75,0.1620000005,0.1509999931,171.875,146.875,50,78.125,96.875,3.125,0,0,71.875,98.34899902,1.950999975,21.99300003
\n37.chstr.cex.txt,0.67900002,74.86000061,14.92000008,0.3289999962,62.54999924,-1.289000034,9.850000381,-4.105999947,0,1.217000008,88.69000244,0.05900000036,0.1369999945,0.1459999979,0.6669999957,0.4850000143,100,5.881999969,41.17599869,11.76500034,29.41200066,0.2099999934,0.1949999928,217.6470032,182.3529968,70.58899689,58.82400131,82.35299683,5.881999969,0,0,58.82400131,93.68800354,1.815999985,20.53700066
\n38.chstr.cex.txt,0.07900000364,52.79000092,100,-0.625,26.76000023,2.022000074,97.83000183,-8.461000443,0,0.7570000291,77.33999634,0.2169999927,0.3219999969,0.2259999961,0.6819999814,0.4230000079,140.8450012,0,28.16900063,21.12700081,21.12700081,0.2569999993,0.2520000041,225.352005,161.9730072,42.25400162,28.16900063,77.46499634,0,0,7.041999817,49.29600143,100,1.378999949,31.90999985
\n39.chstr.cex.txt,0.2649999857,60.25999832,66.63999939,0.2890000045,61.02999878,-0.5820000172,28.10000038,-0.8899999857,18.67000008,1.251999974,89.44000244,0.2599999905,0.2599999905,0.2599999905,0.5830000043,0.4550000131,70.70700073,25.25300026,30.3029995,0,10.10099983,0.1560000032,0.1580000073,282.8280029,171.7180023,30.3029995,25.25300026,35.35400009,5.051000118,0,0,20.20199966,96.09999847,1.552000046,19.20999908
\n40.chstr.cex.txt,0.949000001,82.63999939,35.20000076,-1.13499999,12.92000008,-1.236999989,10.93000031,-1.585999966,5.710000038,0.9670000076,83.15000153,0.1909999996,0.248999998,0.2800000012,0.6050000191,0.4210000038,60.18500137,9.258999825,9.258999825,4.630000114,13.88899994,0.1280000061,0.1319999993,236.1119995,171.2969971,60.18500137,41.66699982,83.33300018,4.630000114,0,4.630000114,55.55599976,97.99299622,1.508000016,15.89599991
\n41.chstr.cex.txt,0.2590000033,59.86999893,86.86000061,-0.6000000238,27.43000031,-0.174999997,43.25,-6.646999836,0,0.9060000181,81.58999634,0.1949999928,0.2430000007,0.2430000007,0.5,0.34799999,125,0,27.17399979,10.86999989,16.30400085,0.2479999959,0.2720000148,211.9559937,190.2169952,16.30400085,16.30400085,48.9129982,0,0,0,32.60900116,94.65699768,1.960999966,28.97500038
\n42.chstr.cex.txt,0.2910000086,61.40999985,57.93000031,-0.4320000112,33.36000061,-0.9679999948,16.85000038,-4.111000061,0,0.976000011,83.40000153,0.2469999939,0.273999989,0.3300000131,0.5379999876,0.3689999878,100.5589981,0,27.93300056,5.586999893,22.34600067,0.2409999967,0.2319999933,284.9159851,150.8390045,44.69300079,27.93300056,27.93300056,0,0,0,16.76000023,99.93900299,0.9670000076,25.93899918
\n43.chstr.cex.txt,-0.05600000173,48.00999832,99.45999908,1.623000026,94.73999786,1.39199996,91.76999664,-2.078000069,1.919999957,0.5370000005,70.19000244,0.2669999897,0.3409999907,0.3409999907,0.6480000019,0.451000005,108.2470016,20.61899948,56.70100021,5.15500021,41.23699951,0.1529999971,0.1379999965,242.2689972,190.7220001,30.9279995,77.31999969,51.54600143,10.30900002,0,0,30.9279995,94.01999664,2.681999922,17.99699974
\n44.chstr.cex.txt,1.531000018,93.69999695,69.15000153,2.703999996,99.65000153,-1.14199996,12.71000004,-5.243999958,0,1.694000006,95.44999695,0.1230000034,0.3289999962,0.1230000034,0.6129999757,0.3930000067,172.4140015,41.37900162,62.06900024,0,27.58600044,0.2039999962,0.2210000008,234.4830017,124.1389999,6.896999836,62.06900024,103.447998,0,0,0,82.75900269,100,1.014999986,27.53199959
\n45.chstr.cex.txt,1.353000045,91.15000153,28.10000038,1.447000027,92.51000214,-1.57099998,5.820000172,-8.279000282,0,1.720000029,95.73000336,0.04600000009,0.200000003,0.05099999905,0.7139999866,0.4930000007,179.1040039,14.92500019,67.16400146,14.92500019,37.31299973,0.1360000074,0.1480000019,164.1790009,119.4020004,37.31299973,59.70100021,149.2539978,22.38800049,0,0,74.6269989,100,0.6890000105,15.63899994
\n46.chstr.cex.txt,1.269000053,89.62000275,44.83000183,1.432000041,92.36000061,-1.722000003,4.269999981,-1.302000046,9.680000305,1.133000016,87.08000183,0.1099999994,0.2080000043,0.1289999932,0.5569999814,0.4149999917,103.447998,11.49400043,51.72399902,0,40.22999954,0.2440000027,0.2119999975,235.6320038,206.8970032,28.73600006,80.45999908,86.20700073,0,0,0,63.2179985,99.53299713,0.7710000277,24.1060009
\n47.chstr.cex.txt,1.15199995,87.48999786,65.91000366,-0.27700001,39.36000061,-1.072000027,14.22999954,-6.56400013,0,1.519000053,93.44999695,0.1379999965,0.2800000012,0.1379999965,0.5370000005,0.3619999886,142.8569946,9.524000168,23.80999947,4.762000084,14.28600025,0.2280000001,0.2440000027,223.8090057,142.8569946,23.80999947,33.33300018,128.5709991,0,0,9.524000168,85.71399689,100,1.152999997,25.06900024
\n49.chstr.cex.txt,1.927999973,97.26000214,50,-1.725999951,4.269999981,-0.07500000298,47.20999908,-4.002999783,0,1.907999992,97.12999725,0.1070000008,0.5469999909,0.1469999999,0.7049999833,0.5289999843,93.22000122,16.9489994,8.475000381,8.475000381,0,0.1400000006,0.1589999944,169.4909973,144.0690002,67.79699707,101.6949997,110.1699982,0,0,8.475000381,101.6949997,88.65699768,3.148000002,28.76099968
\n50.chstr.cex.txt,0.1640000045,56.36000061,6.179999828,0.5490000248,70.54000092,1.621000051,94.73999786,-5.80700016,0,1.432000041,92.36000061,0.1070000008,0.1070000008,0.1070000008,0.9169999957,0.7860000134,121.9509964,0,48.77999878,0,48.77999878,0.1490000039,0.1599999964,219.5119934,195.1210022,48.77999878,97.56099701,24.38999939,0,0,0,24.38999939,94.36000061,1.371000051,17.38699913
